OrderID,CustomerID,SKU,Quantity,SupplierID,OrderDate,PromisedDate,ActualDeliveryDate,Status,Carrier,DelayOwner,ExceptionNote
ORD-5040,CUST-1001,SKU-CAP38,25000,SUP-205,2026-08-10,2026-08-26,2026-08-25,Delivered,Interstate Haulers,,
ORD-5041,CUST-1001,SKU-CAP38,50000,SUP-202,2026-08-04,2026-08-24,2026-08-25,Delivered,BlueDart Logistics,Supplier,Late delivery
ORD-5042,CUST-1004,SKU-GB22,20000,SUP-202,2026-08-18,,,Delayed,BlueDart Logistics,Customer,QA reinspection
ORD-5043,CUST-1005,SKU-GB22,20000,SUP-201,2026-08-17,2026-09-03,2026-09-03,Delivered,Interstate Haulers,,
ORD-5044,CUST-1005,SKU-PET500,5000,SUP-202,2026-08-07,2026-08-23,2026-08-20,Delivered,Interstate Haulers,,
ORD-5045,CUST-1006,SKU-BOX12,50000,SUP-204,2026-07-16,2026-07-31,,On Hold,BlueDart Logistics,Customer,Awaiting artwork approval
ORD-5046,CUST-1005,SKU-GB12,25000,SUP-201,2026-07-23,2026-08-07,,Delayed,Ridgeline Freight,Customer,QA reinspection
ORD-5047,CUST-1007,SKU-LABEL,15000,SUP-202,2026-08-17,2026-09-07,,In Transit,BlueDart Logistics,,
ORD-5048,CUST-1006,SKU-CAP28,50000,SUP-201,2026-07-29,2026-08-17,2026-08-14,Delivered,Interstate Haulers,,
ORD-5049,CUST-1005,SKU-CAP28,20000,SUP-203,2026-08-01,2026-08-19,2026-08-19,Delivered,Acme Fleet,,
ORD-5050,CUST-1003,SKU-LABEL,15000,SUP-205,2026-07-25,2026-08-12,,Processing,Interstate Haulers,,
ORD-5051,CUST-1005,SKU-PET500,,SUP-204,2026-07-12,2026-08-01,2026-08-01,Delivered,Acme Fleet,,
ORD-5052,CUST-1004,SKU-BOX12,50000,SUP-204,2026-08-09,2026-08-29,2026-08-30,Delivered,Interstate Haulers,Carrier,Late delivery
ORD-5053,CUST-1002,SKU-PET500,10000,SUP-203,2026-08-07,2026-08-19,2026-08-17,Delivered,Acme Fleet,,
ORD-5054,CUST-1002,SKU-CROWN,50000,SUP-204,2026-07-14,2026-07-27,,Delayed,Acme Fleet,Carrier,QA reinspection
ORD-5055,CUST-1004,SKU-GB22,5000,SUP-201,2026-07-23,2026-08-05,2026-08-07,Delivered,Acme Fleet,Carrier,Late delivery
ORD-5056,CUST-1001,SKU-BOX12,5000,SUP-202,2026-07-21,2026-08-02,,Processing,Interstate Haulers,,
ORD-5057,CUST-1008,SKU-LABEL,20000,SUP-205,2026-07-15,2026-08-01,,Processing,Acme Fleet,,
ORD-5058,CUST-1008,SKU-PET1L,50000,SUP-202,2026-08-02,2026-08-20,,In Transit,BlueDart Logistics,,
ORD-5059,CUST-1005,SKU-CROWN,50000,SUP-201,2026-08-01,2026-08-14,2026-08-13,Delivered,Ridgeline Freight,,
ORD-5060,CUST-1003,SKU-GB22,20000,SUP-202,2026-08-10,2026-08-31,2026-08-31,Delivered,Acme Fleet,,
